bookID,title,authors,isbn,num_pages
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,9780439785969,368
367,Douglas Adams's Starship Titanic,Terry Jones,9780439785969,256
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,9780439785969,336
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,9780439785969,72
385,On Bullshit,Harry G. Frankfurt,9780439785969,67
386,Another Bullshit Night in Suck City,Nick Flynn,9780439785969,347
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,9780439785969,317
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,9780439785969,32
399,Underworld,Don DeLillo,9780439785969,827
400,Libra,Don DeLillo,9780439785969,480
403,Americana,Don DeLillo,9780439785969,377
404,Running Dog,Don DeLillo,9780439785969,256
406,Cosmopolis,Don DeLillo,9780439785969,224
407,Great Jones Street,Don DeLillo,9780439785969,272
408,The Names,Don DeLillo,9780439785969,339
409,Against the Day,Thomas Pynchon,9780439785969,1085
410,V.,Thomas Pynchon,9780439785969,547
411,The Crying of Lot 49,Thomas Pynchon,9780439785969,152
412,Gravity's Rainbow,Thomas Pynchon,9780439785969,784
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,9780439785969,773
414,Vineland,Thomas Pynchon,9780439785969,385
415,Gravity's Rainbow,Thomas Pynchon,9780439785969,776
416,Slow Learner: Early Stories,Thomas Pynchon,9780439785969,193
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,9780439785969,352
420,The Year of Magical Thinking,Joan Didion,9780439785969,227
421,The White Album,Joan Didion,9780439785969,222
422,A Book of Common Prayer,Joan Didion,9780439785969,272
423,Where I Was From,Joan Didion,9780439785969,240
424,Slouching Towards Bethlehem,Joan Didion,9780439785969,238
425,Democracy,Joan Didion,9780439785969,234
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,9780439785969,1122
428,Play It As It Lays,Joan Didion/David Thomson,9780439785969,231
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,9780439785969,308
432,City of Glass (The New York Trilogy  #1),Paul Auster,9780439785969,203
434,Ghosts (The New York Trilogy  #2),Paul Auster,9780439785969,96
435,The Locked Room (The New York Trilogy  #3),Paul Auster,9780439785969,179
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,9780439785969,256
446,The Brooklyn Follies,Paul Auster,9780439785969,306
447,Moon Palace,Paul Auster,9780439785969,320
453,The Music of Chance,Paul Auster,9780439785969,217
454,Travels in the Scriptorium,Paul Auster,9780439785969,145
